# room=$73 mode=$05 lvl=$00 objs=5
tick,bucket,calls,total_cyc,max_cyc,tick_cyc
57,AnimateAndDrawObjectWalking,1,1080,1080,127841
57,AddQSpeedToPositionFraction,20,5760,288,127841
57,GetCollidableTile,1,1080,1080,127841
57,_ags_prearm,1,40,40,127841
57,DriveAudio,1,8,8,127841
57,_tick,1,127841,127841,127841
58,VBlankISR,1,96,96,127841
58,IsrNmi,1,1056,1056,127841
58,UpdateMode,1,264,264,127841
58,TransferCurTileBuf,1,120,120,127841
58,music_tick,1,232,232,127841
58,UpdatePlayer,1,320,320,127841
58,UpdateObject,3,3552,1184,127841
58,CheckMonsterCollisions,3,984,328,127841
58,MoveObject,4,960,240,127841
58,Walker_Move,4,3904,976,127841
58,Walker_CheckTileCollision,4,1696,424,127841
58,UpdateMoblin,2,1040,520,127841
58,UpdateArrowOrBoomerang,2,2000,1000,127841
58,AnimateAndDrawObjectWalking,3,3240,1080,127841
58,AddQSpeedToPositionFraction,12,3456,288,127841
58,GetCollidableTile,2,2160,1080,127841
58,_oam_dma_flush,1,232,232,127841
58,_ags_flush,1,96,96,127841
58,_ags_prearm,1,40,40,127841
58,DriveAudio,1,8,8,127841
58,_tick,1,127841,127841,127841
59,VBlankISR,1,96,96,255682
59,IsrNmi,1,1056,1056,255682
59,UpdateMode,1,264,264,255682
59,TransferCurTileBuf,1,120,120,255682
59,music_tick,1,232,232,255682
59,UpdatePlayer,1,320,320,255682
59,UpdateObject,15,17760,1184,255682
59,CheckMonsterCollisions,7,2296,328,255682
59,MoveObject,16,3840,240,255682
59,Walker_Move,8,7808,976,255682
59,Walker_CheckTileCollision,8,3392,424,255682
59,UpdateMoblin,7,3640,520,255682
59,UpdateArrowOrBoomerang,8,8000,1000,255682
59,AnimateAndDrawObjectWalking,7,7560,1080,255682
59,AddQSpeedToPositionFraction,60,17280,288,255682
59,GetCollidableTile,2,2160,1080,255682
59,_oam_dma_flush,1,232,232,255682
59,_ags_flush,1,96,96,255682
59,_ags_prearm,1,40,40,255682
59,DriveAudio,1,8,8,255682
59,_tick,2,255682,255682,255682
60,VBlankISR,1,96,96,127841
60,IsrNmi,1,1056,1056,127841
60,UpdateMode,1,264,264,127841
60,TransferCurTileBuf,1,120,120,127841
60,music_tick,1,232,232,127841
60,UpdatePlayer,1,320,320,127841
60,UpdateObject,3,3552,1184,127841
60,CheckMonsterCollisions,1,328,328,127841
60,MoveObject,4,960,240,127841
60,Walker_Move,2,1952,976,127841
60,Walker_CheckTileCollision,2,848,424,127841
60,UpdateMoblin,1,520,520,127841
