# room=$73 mode=$05 lvl=$00 objs=5
tick,bucket,calls,total_cyc,max_cyc,tick_cyc
22,VBlankISR,1,96,96,127841
22,IsrNmi,1,1056,1056,127841
22,UpdateMode,1,264,264,127841
22,TransferCurTileBuf,1,120,120,127841
22,music_tick,1,232,232,127841
22,UpdatePlayer,1,320,320,127841
22,UpdateObject,5,5920,1184,127841
22,CheckMonsterCollisions,2,656,328,127841
22,MoveObject,4,736,184,127841
22,Walker_Move,3,2760,920,127841
22,Walker_CheckTileCollision,3,1272,424,127841
22,UpdateMoblin,2,1040,520,127841
22,UpdateArrowOrBoomerang,2,2000,1000,127841
22,AnimateAndDrawObjectWalking,2,2160,1080,127841
22,GetCollidableTile,2,2160,1080,127841
22,_oam_dma_flush,1,232,232,127841
22,_ags_flush,1,96,96,127841
22,_ags_prearm,1,40,40,127841
22,DriveAudio,1,8,8,127841
22,_tick,1,127841,127841,127841
23,VBlankISR,1,96,96,127841
23,IsrNmi,1,1056,1056,127841
23,UpdateMode,1,264,264,127841
23,TransferCurTileBuf,1,120,120,127841
23,music_tick,1,232,232,127841
23,UpdatePlayer,1,320,320,127841
23,UpdateObject,5,5920,1184,127841
23,CheckMonsterCollisions,2,656,328,127841
23,MoveObject,4,736,184,127841
23,Walker_Move,3,2760,920,127841
23,Walker_CheckTileCollision,3,1272,424,127841
23,UpdateMoblin,2,1040,520,127841
23,UpdateArrowOrBoomerang,2,2000,1000,127841
23,AnimateAndDrawObjectWalking,2,2160,1080,127841
23,GetCollidableTile,2,2160,1080,127841
23,_oam_dma_flush,1,232,232,127841
23,_ags_flush,1,96,96,127841
23,_ags_prearm,1,40,40,127841
23,DriveAudio,1,8,8,127841
23,_tick,1,127841,127841,127841
24,VBlankISR,1,96,96,127841
24,IsrNmi,1,1056,1056,127841
24,UpdateMode,1,264,264,127841
24,TransferCurTileBuf,1,120,120,127841
24,music_tick,1,232,232,127841
24,UpdatePlayer,1,320,320,127841
24,UpdateObject,5,5920,1184,127841
24,CheckMonsterCollisions,2,656,328,127841
24,MoveObject,4,736,184,127841
24,Walker_Move,3,2760,920,127841
24,Walker_CheckTileCollision,3,1272,424,127841
24,UpdateMoblin,2,1040,520,127841
24,UpdateArrowOrBoomerang,2,2000,1000,127841
