=================================================================
CHR Loop Count Probe — 200 frames
=================================================================
Total NMI entries: 0

  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=67
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=67
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=67
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=67
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=67
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=68
  NMI#0 ftcb_entry: D2=$00000040 (64 bytes, 4 tiles) blk=0 frame=69
