# label=gen system=GEN start=850 end=3000
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40,hintQCount,hintQ0Ctr,hintQ0Vsram,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent,enterStep,updateCount,handoffMark,substage,nmiProbe,ppuCtrlGate
924,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,65,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,52,B0
925,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,64,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,53,B0
926,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,63,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,54,B0
927,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,62,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,55,B0
928,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,61,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,56,B0
929,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,60,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,57,B0
930,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,5F,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,58,B0
931,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,5E,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,59,B0
932,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,5D,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,5A,B0
933,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,5C,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,5B,B0
934,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,5B,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,5C,B0
935,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,5A,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,5D,B0
936,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,59,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,5E,B0
937,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,58,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,5F,B0
938,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,57,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,60,B0
939,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,56,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,61,B0
940,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,55,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,62,B0
941,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,54,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,63,B0
942,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,53,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,64,B0
943,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,52,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,65,B0
944,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,51,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,66,B0
945,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,50,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,67,B0
946,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,4F,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,68,B0
947,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,4E,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,69,B0
