# label=nes system=NES ramDomain=nil start=2100 end=3200 step=1
# frame,gameMode,phase,subphase,frameCtr,curVScroll,curHScroll,ppuCtrl,switchReq,tileBufSel,lineCounter,vramHi,vramLo,textIndex,objYTick,vsram0,ppuScrlX,ppuScrlY,hintQCount,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent,spriteVisible,attrIndex,itemRow
02199,00,01,02,7F,12,00,B2,00,00,FA,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02200,00,01,02,80,12,00,B2,00,00,FA,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02201,00,01,02,81,13,00,B2,00,00,FB,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02202,00,01,02,82,13,00,B2,00,00,FB,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02203,00,01,02,83,14,00,B2,00,00,FC,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02204,00,01,02,84,14,00,B2,00,00,FC,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02205,00,01,02,85,15,00,B2,00,00,FD,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02206,00,01,02,86,15,00,B2,00,00,FD,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02207,00,01,02,87,16,00,B2,00,00,FE,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02208,00,01,02,88,16,00,B2,00,00,FE,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02209,00,01,02,89,17,00,B2,00,00,FF,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02210,00,01,02,8A,17,00,B2,00,00,FF,21,20,05,00,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,1F,03
02211,00,01,02,8B,18,00,B2,00,00,00,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02212,00,01,02,8C,18,00,B2,00,00,00,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02213,00,01,02,8D,19,00,B2,00,00,01,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02214,00,01,02,8E,19,00,B2,00,00,01,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02215,00,01,02,8F,1A,00,B2,00,00,02,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02216,00,01,02,90,1A,00,B2,00,00,02,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02217,00,01,02,91,1B,00,B2,00,00,03,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02218,00,01,02,92,1B,00,B2,00,00,03,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02219,00,01,02,93,1C,00,B2,00,00,04,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02220,00,01,02,94,1C,00,B2,00,00,04,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02221,00,01,02,95,1D,00,B2,00,00,05,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02222,00,01,02,96,1D,00,B2,00,00,05,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02223,00,01,02,97,1E,00,B2,00,00,06,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02224,00,01,02,98,1E,00,B2,00,00,06,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02225,00,01,02,99,1F,00,B2,00,00,07,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02226,00,01,02,9A,1F,00,B2,00,00,07,21,40,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,20,03
02227,00,01,02,9B,20,00,B2,00,00,08,21,60,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,21,03
02228,00,01,02,9C,20,00,B2,00,00,08,21,60,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,21,03
02229,00,01,02,9D,21,00,B2,00,00,09,21,60,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,21,03
02230,00,01,02,9E,21,00,B2,00,00,09,21,60,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,21,03
02231,00,01,02,9F,22,00,B2,00,00,0A,21,60,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,21,03
02232,00,01,02,A0,22,00,B2,00,00,0A,21,60,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,21,03
02233,00,01,02,A1,23,00,B2,00,00,0B,21,60,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,21,03
02234,00,01,02,A2,23,00,B2,00,00,0B,21,60,05,01,FFFF,FF,FF,FF,FF,FF,FF,FF,FFFF,FFFF,FF,FF,FF,FFFF,FFFF,8,21,03
