# label=nes system=NES start=850 end=3000
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40
953,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,16,00,01,00,00,00,FFFF
954,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,15,00,01,00,00,00,FFFF
955,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,14,00,01,00,00,00,FFFF
956,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,13,00,01,00,00,00,FFFF
957,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,12,00,01,00,00,00,FFFF
958,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,11,00,01,00,00,00,FFFF
959,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,10,00,01,00,00,00,FFFF
960,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,0F,00,01,00,00,00,FFFF
961,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,0E,00,01,00,00,00,FFFF
962,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,0D,00,01,00,00,00,FFFF
963,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,0C,00,01,00,00,00,FFFF
964,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,0B,00,01,00,00,00,FFFF
965,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,0A,00,01,00,00,00,FFFF
966,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,09,00,01,00,00,00,FFFF
967,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,08,00,01,00,00,00,FFFF
968,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,07,00,01,00,00,00,FFFF
969,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,06,00,01,00,00,00,FFFF
970,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,05,00,01,00,00,00,FFFF
971,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,04,00,01,00,00,00,FFFF
972,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,03,00,01,00,00,00,FFFF
973,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,02,00,01,00,00,00,FFFF
974,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,01,00,01,00,00,00,FFFF
975,00,00,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0D,00,00,01,00,00,00,FFFF
976,00,01,00,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0E,02,00,00,00,00,00,FFFF
977,00,01,01,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,0E,02,00,00,00,00,00,FFFF
978,00,01,02,00,00,B0,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,FFFF
979,00,01,00,10,00,B0,01,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,02,01,00,00,00,FFFF
980,00,01,00,10,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
981,00,01,00,11,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
982,00,01,00,11,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
983,00,01,00,12,00,B2,00,FFFF,FF,FF,00,00,00,00,00,00,00,00,00,00,00,01,00,00,00,FFFF
