frame,gameMode,phase,subphase,curVScroll,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDst,attrDst,switchReq,subphase2Hits,lineRecordHit,demoLineSelected,planeLineDst,attrRecordHit,attrLineDst,lineAdvanced,attrAdvanced,ntWrapped
975,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
976,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
977,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
978,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
979,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
980,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
981,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
982,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
983,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
984,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
985,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
986,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
987,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
988,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
989,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
990,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
991,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
992,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
993,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
994,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
995,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
996,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
997,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
998,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
999,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1000,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1001,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1002,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1003,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1004,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1005,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1006,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1007,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1008,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1009,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1010,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1011,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1012,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1013,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1014,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1015,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1016,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1017,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1018,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1019,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1020,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1021,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1022,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1023,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1024,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
